Student_ID,Gender,Age,Study_Hours_Per_Day,Attendance_Percentage,Previous_Exam_Score,Assignments_Completed,Sleep_Hours,Internet_Usage_Hours,Social_Media_Hours,Extra_Curricular,Family_Income,Parental_Education,Distance_From_College_km,Class_Participation,Stress_Level,Final_Exam_Score
245,Female,23,5.6,96.5,43.4,20,8.9,2.2,4.0,No,Medium,High School,16.2,6,2,78.6
246,Female,20,0.7,61.5,77.2,6,5.7,6.5,6.9,Yes,Medium,Graduate,4.0,5,3,45.1
247,Female,23,7.0,88.3,89.5,20,7.0,2.7,5.6,No,High,High School,1.4,5,1,96.4
248,Male,20,2.4,82.9,84.2,14,8.2,7.4,5.1,No,Medium,High School,29.5,6,10,57.1
249,Female,17,1.1,98.3,81.3,3,6.2,4.0,4.1,No,Medium,Postgraduate,28.2,3,3,48.8
250,Female,20,0.8,96.8,72.6,20,7.3,5.6,3.7,Yes,High,High School,23.8,10,9,59.8
251,Female,17,1.7,79.4,60.4,11,5.5,2.5,2.7,Yes,High,Graduate,13.9,6,5,47.1
252,Female,17,7.3,82.6,74.1,1,7.6,3.2,6.5,No,High,Postgraduate,13.9,2,7,57.7
253,Male,20,0.8,95.4,47.1,16,4.9,1.7,6.8,Yes,High,Graduate,25.2,9,9,41.5
254,Female,17,2.0,92.3,90.4,13,7.4,7.6,5.4,Yes,Low,High School,6.2,3,1,63.1
255,Male,17,2.4,58.2,86.8,8,6.3,4.2,3.1,Yes,High,Postgraduate,2.3,6,1,57.1
256,Male,24,6.9,71.1,66.7,9,8.0,3.1,1.1,Yes,High,High School,5.0,8,7,69.4
257,Male,18,3.4,90.9,69.4,20,5.1,5.7,6.4,Yes,Low,Postgraduate,18.3,6,1,72.6
258,Female,20,4.5,97.6,54.2,11,5.5,7.3,6.0,Yes,Low,Postgraduate,24.2,3,3,57.3
259,Female,22,6.9,93.3,93.7,17,6.6,4.8,2.4,No,Low,Postgraduate,20.0,2,5,80.2
260,Female,22,1.3,82.9,91.7,10,6.7,3.3,4.8,No,Low,High School,10.1,10,3,63.9
261,Female,24,6.4,87.0,75.4,8,8.3,1.9,5.3,Yes,Low,Postgraduate,18.6,8,8,70.2
262,Male,23,6.8,93.6,43.8,17,5.4,6.1,4.6,Yes,Low,Postgraduate,8.6,2,1,77.2
263,Male,23,7.2,79.3,76.2,4,6.1,2.6,5.5,No,High,High School,20.2,5,3,70.7
264,Male,24,6.9,91.3,73.7,5,7.9,2.0,1.5,No,Low,High School,23.1,10,10,73.1
265,Female,18,2.2,66.9,49.7,6,6.8,6.5,3.0,No,High,Graduate,17.8,8,1,44.5
266,Female,22,4.8,71.9,58.8,18,7.4,6.8,3.9,No,Medium,Postgraduate,1.2,7,4,69.9
267,Male,20,7.1,74.8,49.5,16,7.4,2.5,1.7,No,Medium,Postgraduate,4.3,6,10,69.9
268,Male,19,5.6,76.6,72.2,20,8.3,1.2,0.8,Yes,Low,Graduate,27.8,10,10,73.1
269,Female,24,4.4,73.2,96.1,20,4.6,6.0,4.8,Yes,Low,Graduate,18.4,5,2,76.1
270,Male,23,6.5,91.9,46.5,16,5.7,6.1,2.7,No,Low,High School,1.5,8,10,70.8
271,Male,18,4.4,95.9,78.1,4,7.2,2.2,6.4,No,High,High School,27.2,10,1,74.2
272,Female,23,4.5,55.1,94.1,20,6.4,3.9,6.2,No,High,Postgraduate,27.3,9,7,72.0
273,Female,21,6.8,80.9,61.8,8,6.6,2.6,6.1,Yes,Low,Postgraduate,22.6,5,10,64.9
274,Female,21,0.6,78.5,67.7,12,7.4,5.8,2.6,No,High,Graduate,18.7,6,2,48.0
275,Female,22,7.9,72.9,47.8,17,8.0,4.4,2.9,No,High,High School,25.8,9,8,74.5
276,Male,19,5.4,88.7,63.1,5,5.0,4.6,5.6,No,High,High School,24.3,9,10,61.0
277,Female,21,6.7,76.2,72.8,2,4.8,2.6,1.0,Yes,Low,Postgraduate,15.3,1,7,61.1
278,Male,22,0.6,93.3,93.6,16,5.8,1.2,4.4,Yes,High,High School,29.3,9,4,67.2
279,Female,22,1.2,67.4,60.2,12,6.3,2.4,0.6,No,Low,Postgraduate,28.9,2,2,45.5
280,Female,21,3.9,73.2,35.3,5,6.3,1.7,1.0,No,Medium,Postgraduate,15.0,5,6,47.8
281,Male,20,2.3,70.3,83.9,14,8.5,7.0,3.6,No,Medium,Graduate,16.0,5,2,61.0
282,Female,20,0.6,92.4,50.6,2,6.3,6.2,2.7,No,Low,Postgraduate,20.8,9,3,42.4
283,Male,18,7.3,77.5,47.6,7,8.4,2.4,1.8,Yes,High,Postgraduate,15.3,4,10,56.6
284,Female,23,0.5,93.6,95.4,15,6.2,3.2,6.3,Yes,High,High School,2.6,10,5,64.0
285,Female,22,6.5,76.5,69.1,16,6.1,7.0,5.5,Yes,Low,Postgraduate,7.1,8,2,83.2
286,Female,23,4.9,69.6,73.6,8,5.3,2.8,2.3,Yes,Medium,Postgraduate,22.8,10,6,64.8
287,Female,23,3.2,73.0,63.4,18,5.1,5.0,2.0,Yes,Low,Postgraduate,5.3,2,5,60.1
288,Male,23,6.5,62.9,66.5,20,6.8,6.0,5.6,Yes,High,High School,2.7,5,5,75.2
289,Female,18,6.6,76.4,74.7,14,7.9,2.8,2.8,No,High,Postgraduate,6.8,9,5,78.7
290,Female,24,4.8,84.2,46.0,9,6.1,5.7,3.7,Yes,Low,Postgraduate,24.4,8,2,62.5
291,Female,21,3.0,83.4,71.0,2,4.9,3.4,2.5,No,Medium,Postgraduate,18.0,5,5,50.2
292,Male,18,7.7,73.6,46.6,0,5.1,2.6,2.1,Yes,Medium,Postgraduate,2.6,2,4,52.9
293,Female,24,6.3,78.6,97.7,3,5.7,2.1,4.8,Yes,Low,Postgraduate,25.3,7,5,70.3
294,Male,24,0.7,84.9,89.2,10,8.4,4.3,6.2,No,High,Postgraduate,19.5,5,9,46.2
295,Male,22,2.8,70.6,69.0,2,6.5,3.6,2.2,No,Medium,Postgraduate,1.2,5,1,45.5
296,Female,23,7.4,97.6,65.1,0,7.9,6.6,4.4,No,Low,High School,21.7,1,9,56.6
297,Female,23,5.3,92.3,48.9,2,6.4,2.7,5.5,Yes,Low,High School,5.0,10,5,57.7
298,Male,21,1.3,75.5,63.5,19,6.7,3.2,1.5,No,Low,Postgraduate,13.7,9,1,60.5
299,Male,22,0.6,59.1,35.9,6,6.0,3.2,5.7,Yes,Low,High School,8.7,6,8,27.8
300,Female,20,3.4,79.4,46.4,8,8.2,6.8,1.3,Yes,Low,Graduate,22.3,4,7,48.6
301,Female,24,1.2,85.0,48.1,12,7.6,3.2,2.6,No,Low,Graduate,26.7,1,9,36.1
302,Male,17,7.0,64.8,42.1,20,6.5,1.1,5.7,Yes,High,Postgraduate,14.8,10,2,78.4
303,Male,18,5.0,71.7,40.6,5,6.7,5.8,2.7,Yes,Medium,High School,10.2,1,1,48.4
304,Female,24,4.7,84.0,56.9,14,7.8,1.1,3.0,No,High,Postgraduate,15.2,3,5,65.5
305,Male,24,4.8,79.5,55.4,14,5.7,6.8,6.4,No,Medium,Postgraduate,11.6,9,3,64.1
306,Male,23,0.5,83.7,58.9,5,8.5,5.3,2.9,Yes,High,Postgraduate,15.4,10,4,44.0
307,Male,20,4.6,82.6,55.3,20,5.9,1.7,4.8,Yes,Medium,High School,3.9,1,3,61.8
308,Male,20,4.8,92.6,76.4,16,7.3,5.1,0.8,No,Low,Graduate,24.2,4,10,68.6
309,Male,21,1.0,80.1,94.1,13,8.2,6.6,0.9,Yes,Low,Postgraduate,3.8,10,5,63.5
310,Male,22,5.9,78.9,46.9,16,7.5,5.0,6.7,No,High,Postgraduate,13.4,9,9,64.7
311,Female,22,1.3,90.7,69.6,16,6.0,2.1,7.0,No,High,Graduate,25.0,8,6,60.6
312,Male,17,2.9,65.8,69.4,12,7.9,7.5,2.2,No,High,High School,16.0,8,8,59.7
313,Male,18,8.0,68.6,53.9,7,5.5,3.2,5.5,Yes,Medium,Graduate,5.5,5,9,62.5
314,Female,19,2.5,95.0,50.7,8,8.1,1.6,3.1,No,High,Postgraduate,17.7,4,2,53.8
315,Female,23,7.3,81.8,53.9,18,6.2,6.5,6.5,Yes,Low,Postgraduate,19.9,6,6,79.3
316,Male,19,5.0,55.5,84.0,12,4.7,4.7,2.6,Yes,High,Postgraduate,29.9,10,3,71.5
317,Male,23,7.8,88.9,71.2,2,5.5,3.0,3.1,No,Low,Graduate,15.6,3,6,63.3
318,Male,20,6.3,60.9,43.5,17,5.4,3.8,4.2,Yes,Medium,Graduate,10.4,9,10,69.4
319,Female,24,7.4,59.0,77.3,13,6.1,2.3,2.7,Yes,Medium,High School,27.8,1,5,67.4
320,Male,21,2.3,85.8,44.8,2,5.0,1.4,6.7,No,Medium,High School,10.6,3,5,30.3
321,Male,21,6.1,64.5,69.4,8,7.0,5.4,6.9,Yes,Low,Graduate,6.8,1,7,56.2
322,Female,20,5.7,67.2,64.3,0,4.8,5.6,4.8,No,High,Postgraduate,3.9,6,2,53.0
323,Female,22,2.9,94.0,68.5,5,5.4,7.8,4.1,No,Medium,Postgraduate,5.6,1,1,50.2
324,Male,21,3.1,70.8,74.4,7,9.0,7.9,2.3,Yes,Low,Graduate,27.0,1,5,52.4
325,Female,22,5.4,59.0,59.1,19,8.4,5.8,3.2,No,High,High School,7.0,10,3,74.9
326,Male,19,1.5,79.4,85.4,4,5.9,5.9,3.9,No,Low,Postgraduate,16.5,3,7,49.0
327,Female,19,5.9,63.3,87.9,4,7.8,6.4,6.2,Yes,Low,High School,6.4,7,7,61.6
328,Female,19,6.2,82.5,51.8,18,7.3,5.2,2.0,No,High,Postgraduate,11.8,1,6,62.0
329,Male,20,6.9,77.1,43.7,6,5.5,3.9,6.8,Yes,Low,Graduate,26.1,5,7,54.1
330,Male,18,4.2,69.6,63.8,7,6.4,6.4,4.5,No,Medium,High School,26.5,7,6,54.7
331,Female,21,2.3,79.2,97.0,1,7.0,4.6,4.6,No,Medium,High School,13.3,1,4,46.3
332,Male,23,5.1,57.5,67.6,4,6.6,5.5,1.1,No,Medium,Graduate,1.7,9,2,59.7
333,Female,22,3.9,95.3,91.4,14,4.9,3.3,4.7,Yes,High,Postgraduate,12.1,3,2,67.9
334,Male,19,6.4,78.0,94.8,12,7.0,1.3,1.6,Yes,Low,Postgraduate,2.5,6,10,78.2
335,Female,17,2.8,87.9,95.5,9,7.3,1.8,1.4,No,Medium,Graduate,16.8,4,1,67.3
336,Female,20,0.5,94.7,50.0,18,7.5,4.2,3.4,Yes,Low,High School,2.6,10,10,45.4
337,Male,19,3.1,61.5,37.0,18,8.3,3.1,6.5,No,High,Postgraduate,21.1,1,2,47.1
338,Female,18,5.0,90.4,46.2,14,7.9,3.5,0.7,No,High,High School,9.5,5,6,60.9
339,Male,24,1.5,86.3,52.3,16,6.4,2.5,1.9,No,Medium,Postgraduate,25.6,1,2,50.6
340,Male,21,2.4,80.9,74.3,4,7.3,4.5,5.2,Yes,Low,High School,1.7,8,8,52.1
341,Male,21,5.2,60.3,88.4,19,9.0,3.9,2.7,No,Low,Graduate,9.7,9,4,76.1
342,Female,24,4.6,89.5,42.2,10,6.0,6.1,4.5,No,Low,Postgraduate,4.9,1,3,50.7
343,Female,17,1.7,75.7,89.5,10,6.6,6.7,6.5,Yes,High,Postgraduate,10.6,1,9,42.4
344,Female,19,7.4,90.8,39.2,4,5.8,1.2,6.9,Yes,Medium,Postgraduate,25.9,9,3,68.2
345,Female,17,5.8,67.2,40.5,7,6.2,6.8,2.5,Yes,Low,Graduate,15.7,9,5,56.1
346,Male,19,6.5,95.7,44.7,10,8.7,6.1,3.9,Yes,High,High School,14.3,6,3,72.6
347,Female,17,5.9,78.5,35.3,1,7.6,5.2,1.1,No,High,High School,10.3,8,1,54.2
348,Male,20,1.9,67.4,55.1,14,7.5,2.9,1.5,No,High,Graduate,8.9,2,1,54.0
349,Female,17,7.6,91.2,71.2,5,4.8,5.3,2.7,Yes,Medium,High School,3.5,8,1,76.9
350,Male,24,3.4,86.7,91.2,20,8.3,5.9,4.5,Yes,Low,Postgraduate,14.6,5,6,75.6
351,Female,19,3.9,85.8,79.7,14,6.6,7.6,1.4,No,Medium,Graduate,15.1,10,5,77.4
352,Male,22,1.0,60.1,65.2,5,5.8,3.4,4.2,Yes,Medium,Postgraduate,14.4,9,2,45.3
353,Female,22,4.9,65.7,50.4,5,8.9,3.7,2.7,Yes,Low,Postgraduate,20.4,10,7,58.2
354,Female,18,6.0,87.0,87.7,3,7.2,4.2,4.1,Yes,High,Postgraduate,23.4,8,3,72.4
355,Female,21,3.3,77.2,76.6,2,5.5,2.0,4.3,No,High,Postgraduate,14.0,1,3,50.3
356,Female,19,2.0,94.5,53.9,9,8.6,7.6,5.2,No,Low,Graduate,27.1,6,2,53.6
357,Female,23,7.8,55.0,70.3,11,5.0,3.0,0.7,No,Medium,Graduate,16.8,7,10,68.1
358,Male,17,5.5,76.4,46.9,12,8.3,3.5,3.2,Yes,High,Graduate,20.1,5,3,59.8
359,Female,24,7.8,61.1,43.6,13,8.4,7.3,5.0,No,Medium,High School,6.4,7,10,61.2
360,Male,24,5.0,81.0,88.3,7,7.7,2.9,6.5,No,Low,Postgraduate,15.0,10,6,65.6
361,Male,21,5.7,61.4,81.1,8,6.6,1.5,6.3,Yes,Medium,Postgraduate,23.6,2,4,61.0
362,Female,21,4.0,78.1,64.6,10,6.4,7.7,5.7,Yes,High,Graduate,17.8,5,3,54.8
363,Female,21,4.8,84.5,53.4,19,4.6,4.4,1.3,No,Low,Postgraduate,4.2,2,5,60.9
364,Male,22,1.8,81.6,44.5,14,6.2,2.2,5.6,Yes,Low,Postgraduate,28.1,4,8,39.0
365,Female,17,1.7,77.3,97.6,12,5.6,4.1,4.6,No,Low,High School,5.9,4,10,54.9
366,Female,17,3.5,68.6,82.0,17,5.6,5.8,3.0,No,Medium,Graduate,20.7,5,3,68.3
367,Male,21,7.7,85.7,37.6,17,7.4,7.7,3.3,No,Medium,Postgraduate,22.7,5,6,70.7
368,Male,23,6.0,81.5,47.3,10,7.5,8.0,2.5,Yes,High,High School,20.9,1,1,65.5
369,Male,18,3.1,87.6,50.9,1,4.6,1.6,6.6,Yes,Medium,Postgraduate,23.2,4,10,36.4
370,Female,23,5.4,91.1,46.6,3,7.6,2.8,3.5,No,Medium,High School,23.6,2,8,52.7
371,Male,23,2.6,57.8,59.5,1,5.7,6.7,1.7,Yes,High,Graduate,4.1,2,8,37.3
372,Female,24,4.6,74.4,73.7,3,8.6,6.0,1.2,Yes,Medium,High School,19.9,2,2,57.0
373,Female,18,0.5,56.7,59.6,4,7.7,7.3,4.2,Yes,Low,Graduate,28.7,9,8,34.2
374,Female,18,6.6,76.7,70.7,11,6.0,3.1,0.9,No,Medium,Postgraduate,6.9,2,6,67.4
375,Female,20,4.7,98.5,76.6,9,7.6,7.3,4.6,Yes,Low,High School,1.7,6,8,60.8
376,Male,22,8.0,65.7,59.5,17,7.4,4.5,6.8,Yes,Medium,High School,7.1,8,1,79.3
377,Male,24,5.4,78.5,94.2,17,5.2,5.1,6.5,Yes,Low,Postgraduate,19.8,1,3,74.2
378,Male,18,0.6,83.5,92.0,3,6.6,2.2,4.3,Yes,Medium,Graduate,24.5,2,2,46.0
379,Female,18,7.9,85.5,55.4,18,7.0,3.3,6.8,Yes,Medium,High School,23.0,4,1,83.0
380,Male,24,1.8,71.6,45.4,7,8.7,1.3,1.1,Yes,Low,High School,6.2,10,7,46.5
381,Female,24,1.2,84.3,90.9,13,7.6,6.5,3.6,No,Low,High School,18.7,3,4,53.0
382,Male,18,0.8,63.1,66.5,2,7.3,6.5,2.8,No,High,Postgraduate,7.4,1,9,23.8
383,Male,17,6.3,84.7,52.4,6,5.0,2.0,6.0,No,Medium,High School,13.6,8,8,57.4
384,Male,18,3.0,91.2,82.8,1,5.0,1.4,4.0,Yes,High,Graduate,18.2,3,1,55.0
385,Female,20,2.9,63.9,77.6,10,5.5,1.8,2.0,Yes,Medium,Postgraduate,15.0,4,7,55.2
386,Male,22,7.2,61.5,93.5,14,5.3,3.6,3.5,Yes,Low,Postgraduate,17.5,4,6,82.8
387,Male,20,2.6,60.0,64.3,13,5.3,3.4,6.3,Yes,Medium,Postgraduate,15.2,10,3,61.2
388,Male,19,8.0,81.6,87.7,8,4.6,4.0,6.2,Yes,Medium,High School,2.2,4,6,75.1
389,Male,17,4.0,89.6,37.1,16,6.3,6.7,5.0,No,Low,High School,11.4,2,8,50.6
390,Female,19,2.3,100.0,36.0,9,5.2,4.2,4.2,No,Low,Graduate,19.2,10,1,61.1
391,Male,18,5.8,55.1,74.5,12,8.5,3.3,0.7,No,High,High School,15.9,7,5,70.8
392,Male,19,7.3,71.4,38.2,12,6.1,5.3,2.9,No,Low,Postgraduate,4.3,3,9,60.8
393,Female,17,4.1,97.3,71.5,6,7.9,6.3,2.6,Yes,Medium,Graduate,14.1,5,9,58.1
394,Male,20,4.3,92.3,64.6,17,7.6,4.7,2.4,No,Low,High School,12.3,10,6,76.5
395,Male,21,1.8,98.1,39.8,5,5.7,5.9,3.7,No,High,Postgraduate,28.0,4,9,40.3
396,Female,22,4.1,73.9,81.5,0,5.8,1.4,6.2,No,Medium,Postgraduate,20.3,4,9,48.1
397,Female,17,4.5,79.7,63.9,18,5.1,6.5,1.6,Yes,Medium,Graduate,14.2,5,4,68.4
398,Male,22,1.7,96.6,79.8,9,5.3,2.2,5.1,Yes,Medium,Graduate,11.7,3,3,51.7
399,Male,23,2.0,86.8,76.9,11,5.2,4.1,6.8,No,Low,Graduate,27.9,9,5,54.7
400,Female,22,1.7,98.7,69.4,16,6.0,5.9,3.6,Yes,High,Graduate,27.1,5,10,55.4
401,Male,20,1.5,79.8,54.4,12,7.3,2.5,2.8,No,Low,High School,3.4,6,1,53.9
402,Female,23,6.9,85.5,95.3,16,6.3,4.4,4.4,Yes,High,Graduate,11.7,9,1,99.0
403,Female,19,3.3,67.8,57.1,14,8.4,1.6,5.2,No,High,Graduate,5.0,8,7,58.7
404,Female,21,4.9,58.9,48.1,15,8.9,4.7,2.7,No,Low,Postgraduate,14.4,10,7,58.3
405,Female,20,4.8,96.2,47.6,12,5.8,4.4,5.8,Yes,Low,High School,8.6,5,10,53.4
406,Female,24,7.7,92.5,64.8,20,7.5,3.0,1.7,Yes,High,Postgraduate,11.5,4,1,85.0
407,Male,17,4.1,74.6,51.2,15,8.9,6.7,2.9,Yes,Medium,Graduate,26.5,10,1,72.8
408,Male,20,1.5,62.3,52.2,13,7.4,7.7,0.8,Yes,Low,Postgraduate,22.8,5,9,41.3
409,Male,17,4.6,94.3,87.1,9,5.7,5.9,2.9,Yes,High,Graduate,11.8,9,10,67.1
410,Male,23,4.1,70.3,92.4,3,5.5,4.5,5.9,No,Low,High School,24.7,9,10,58.8
411,Female,17,7.4,76.6,54.6,11,5.1,4.1,6.9,Yes,Low,High School,25.8,9,6,68.5
412,Female,23,1.6,65.2,42.9,4,8.9,4.0,5.5,Yes,Low,High School,2.0,2,2,28.4
413,Male,20,5.4,81.7,64.6,8,4.7,3.1,0.6,Yes,High,Graduate,1.8,2,2,66.3
414,Male,18,1.6,88.6,52.5,18,6.1,2.1,3.8,Yes,High,High School,21.8,10,4,61.2
415,Male,24,7.7,62.7,82.5,0,8.9,1.7,1.9,Yes,Low,Graduate,29.5,9,8,67.4
416,Male,18,3.7,78.1,60.7,10,5.1,1.8,1.4,No,Medium,High School,12.2,6,5,57.5
417,Female,22,3.9,88.1,78.3,14,5.5,3.9,6.9,Yes,Low,Postgraduate,15.3,7,4,72.3
418,Male,22,1.3,74.7,76.5,2,5.0,3.8,5.0,Yes,High,Graduate,4.6,2,3,35.7
419,Female,24,6.8,87.6,52.5,18,7.2,6.3,5.7,No,Low,Graduate,4.1,7,6,75.6
420,Female,22,2.4,77.4,74.6,4,4.6,6.2,5.9,Yes,Medium,Postgraduate,19.1,8,1,59.5
421,Female,17,6.2,84.7,67.8,15,8.1,2.4,4.8,Yes,Medium,High School,12.1,8,9,70.5
422,Female,23,2.9,71.9,64.0,1,5.3,5.6,5.6,No,Low,Postgraduate,20.6,3,8,36.7
423,Female,22,5.5,85.8,71.0,15,7.0,2.1,0.9,No,Medium,High School,1.8,5,8,70.0
424,Female,23,0.8,92.7,57.0,18,4.6,7.2,2.7,No,Low,Postgraduate,8.1,2,7,44.5
425,Female,23,2.3,69.0,40.4,2,8.4,1.8,1.6,No,Low,Postgraduate,14.6,9,6,34.8
426,Female,19,0.7,69.2,70.9,10,7.1,6.7,1.2,No,Medium,Graduate,6.9,4,6,42.4
427,Male,18,5.3,98.8,39.7,17,5.5,2.9,2.4,No,Medium,High School,17.4,10,7,73.8
428,Female,23,4.5,74.2,56.9,2,7.4,3.1,5.7,No,High,Postgraduate,14.1,7,9,45.4
429,Female,17,6.2,63.1,36.2,16,8.4,5.0,1.9,Yes,Medium,Graduate,5.3,8,5,70.4
430,Female,19,1.6,85.8,53.9,13,6.3,7.0,6.4,No,High,Postgraduate,7.8,4,7,42.0
431,Male,17,2.3,61.7,36.7,9,6.6,4.9,3.3,No,Medium,Postgraduate,17.0,1,4,32.5
432,Female,22,5.3,56.9,80.5,0,4.7,7.3,2.5,Yes,Medium,Postgraduate,25.4,5,2,62.0
433,Male,20,2.3,80.7,66.5,3,6.8,6.8,6.7,Yes,Medium,Graduate,25.1,9,5,48.9
434,Male,24,6.0,91.3,81.9,13,5.5,1.7,1.9,No,High,High School,10.2,5,8,72.5
435,Male,20,3.7,85.7,95.7,4,6.1,6.0,5.8,No,High,Graduate,10.0,1,10,45.7
436,Female,21,7.7,71.3,86.2,3,6.9,2.7,3.4,Yes,Low,Graduate,7.1,1,7,69.8
437,Female,23,7.2,96.2,74.8,20,6.3,1.2,6.1,Yes,Low,Postgraduate,8.6,8,8,88.2
438,Male,17,1.0,73.9,80.9,17,7.8,4.2,0.7,No,Low,Postgraduate,9.9,1,3,54.7
439,Male,21,4.8,60.0,50.7,20,7.9,6.9,5.0,Yes,High,Postgraduate,25.0,6,8,60.6
440,Male,20,6.5,63.9,61.1,5,6.3,3.6,5.9,Yes,Medium,High School,8.6,10,4,61.9
441,Female,24,6.9,57.2,73.9,19,5.7,1.6,2.9,No,Low,High School,21.7,10,2,82.0
442,Female,20,1.9,93.8,84.3,9,7.9,3.7,3.3,No,Low,Graduate,24.0,4,10,47.5
443,Male,22,0.7,98.9,49.8,14,8.6,3.6,4.9,No,High,High School,21.7,8,2,49.2
444,Male,17,5.8,88.1,51.1,3,7.0,1.4,6.6,No,High,Postgraduate,12.0,8,6,63.4
445,Male,18,7.8,85.2,43.3,17,4.7,2.3,1.6,No,High,Postgraduate,13.6,8,6,81.5
446,Female,21,2.5,69.1,96.6,15,8.4,6.8,5.4,No,Medium,High School,10.2,7,5,69.4
447,Female,19,8.0,89.4,44.5,20,8.1,1.4,1.5,No,Medium,High School,29.9,4,3,77.0
448,Male,21,7.5,56.8,57.5,17,6.7,4.5,6.0,Yes,Low,Postgraduate,15.8,3,2,71.6
449,Male,24,2.5,95.1,71.9,18,9.0,1.0,5.5,Yes,Medium,High School,9.2,3,7,63.0
450,Female,17,7.9,60.5,58.5,3,8.3,2.1,1.0,No,Low,Postgraduate,19.0,8,8,65.2
451,Male,23,3.9,97.6,98.0,18,5.1,7.0,5.7,Yes,Medium,Graduate,6.2,5,6,78.4
452,Female,21,7.7,93.9,40.6,6,5.2,6.5,2.4,Yes,Medium,Postgraduate,3.8,3,2,65.1
453,Female,23,3.3,64.0,63.1,12,6.6,4.9,3.2,Yes,Low,Postgraduate,10.9,7,6,56.8
454,Male,24,4.0,65.1,78.2,4,8.7,4.7,4.7,No,Low,High School,20.8,2,5,50.1
455,Male,24,2.8,66.2,61.9,18,4.7,1.5,0.8,No,Medium,Graduate,18.0,2,9,48.2
456,Female,22,6.3,55.7,81.7,14,5.3,2.3,3.1,No,High,Graduate,19.1,2,7,70.2
457,Male,17,2.5,98.5,89.9,5,5.4,1.5,6.9,No,Low,High School,6.0,5,2,58.9
458,Female,21,4.1,86.1,89.7,19,7.8,3.1,5.8,Yes,Low,High School,1.4,10,6,81.0
459,Female,24,1.3,55.7,96.1,0,5.4,5.5,4.7,Yes,Medium,Graduate,1.6,7,9,37.2
460,Female,17,1.7,61.9,79.3,15,6.6,7.0,4.3,No,Low,High School,19.3,4,5,53.8
461,Female,20,5.8,99.1,88.5,18,7.2,4.9,2.4,Yes,High,High School,13.2,8,7,84.9
462,Male,19,2.9,57.9,91.3,13,8.5,1.8,4.5,No,High,High School,14.6,6,8,59.9
463,Female,23,3.8,77.8,72.0,10,8.6,7.0,5.1,No,Medium,High School,19.0,8,3,68.5
464,Male,17,2.6,88.7,77.0,4,5.3,2.1,3.7,Yes,Medium,Graduate,11.4,7,8,49.5
465,Female,21,1.7,92.3,91.4,1,8.1,3.4,1.2,No,Medium,High School,23.3,4,2,53.5
466,Male,18,4.7,95.3,88.8,16,7.2,1.7,0.8,Yes,High,High School,15.7,8,8,81.6
467,Male,19,1.8,60.3,47.9,11,5.2,3.0,3.4,No,Medium,High School,4.6,9,8,45.8
468,Female,23,2.0,98.6,83.5,0,5.6,6.7,2.7,No,High,Postgraduate,8.1,9,3,52.9
469,Female,17,6.1,78.8,84.6,4,8.1,3.9,3.2,No,Low,High School,21.8,8,9,69.7
470,Male,21,4.4,58.1,56.3,12,8.9,2.2,0.9,No,Medium,Postgraduate,21.3,1,3,57.4
471,Male,24,7.1,87.5,54.8,11,4.5,3.0,3.9,No,High,Graduate,23.5,3,7,65.2
472,Female,22,7.1,58.8,68.9,12,7.8,6.2,1.3,Yes,Low,High School,26.8,9,5,72.9
473,Female,18,4.5,66.6,87.4,9,7.8,7.9,1.2,Yes,High,High School,14.0,1,6,55.7
474,Female,21,4.8,55.2,56.4,7,8.1,7.9,4.2,Yes,High,Graduate,16.1,9,10,49.2
475,Female,19,2.4,69.8,71.7,11,6.5,2.0,3.3,No,Low,Graduate,3.3,7,2,54.7
476,Female,19,5.6,73.1,70.2,12,8.4,5.1,4.6,Yes,High,High School,15.1,8,8,69.8
477,Male,23,3.9,98.6,67.3,16,5.0,2.5,3.6,Yes,Low,Graduate,17.6,3,9,59.3
478,Female,21,0.8,61.9,58.4,11,5.9,4.4,5.6,Yes,Low,Postgraduate,15.2,3,10,31.5
479,Male,19,1.4,70.7,89.8,13,6.7,3.2,3.4,No,Medium,Postgraduate,14.0,6,7,54.7
480,Female,21,7.0,69.6,85.4,19,6.3,2.6,3.1,Yes,Low,Postgraduate,1.7,9,1,97.2
481,Male,20,5.2,89.7,54.5,20,5.1,4.9,1.8,No,High,High School,4.5,10,9,73.7
482,Female,23,7.5,63.1,36.2,6,5.6,5.9,6.3,Yes,Medium,High School,10.9,8,2,67.3
483,Female,18,1.9,56.1,68.3,12,5.7,1.8,1.1,Yes,Medium,Graduate,20.7,3,5,42.5
484,Male,17,0.9,98.3,46.4,1,5.8,1.7,1.4,Yes,Low,Postgraduate,18.0,6,5,35.8
485,Male,17,4.2,88.9,59.3,3,5.7,3.2,4.1,No,High,Postgraduate,20.6,2,8,41.8
486,Male,22,2.3,80.0,84.5,9,7.1,4.1,6.0,Yes,Low,Postgraduate,28.6,9,4,63.6
487,Female,21,7.7,80.0,37.6,14,8.8,5.3,4.7,No,High,Graduate,30.0,3,1,67.5
488,Male,19,6.8,64.6,88.0,9,4.7,6.2,4.2,No,Medium,High School,18.7,5,2,74.7
489,Female,22,7.7,69.3,78.0,10,7.4,7.9,5.1,Yes,Medium,Postgraduate,10.5,5,4,78.1
490,Female,23,7.4,61.0,93.1,19,6.6,7.3,4.9,Yes,High,Postgraduate,3.2,7,9,87.1
